排名,名称,追番人数
1,鬼灭之刃,1080.1万追番
2,咒术回战,1021.8万追番
3,工作细胞：细胞大作战,914.3万追剧
4,关于我转生变成史莱姆这档事 第二季,883.1万追番
5,Re：从零开始的异世界生活 第二季 后半,838万追番
6,工作细胞 第二季,836.6万追番
7,关于我转生变成史莱姆这档事 转生史莱姆日记,829.3万追番
8,小林家的龙女仆 第二季,828.2万追番
9,工作细胞,789.1万追番
10,鬼灭之刃（中配）,770.3万追番
11,Re：从零开始的异世界生活 第二季 前半,764.9万追番
12,小林家的龙女仆,752.3万追番
13,辉夜大小姐想让我告白？～天才们的恋爱头脑战～,736.1万追番
14,辉夜大小姐想让我告白～天才们的恋爱头脑战～,713万追番
15,紫罗兰永恒花园,708.8万追番
16,关于我转生变成史莱姆这档事,707.5万追番
17,青春猪头少年不会梦到兔女郎学姐,707.1万追番
18,埃罗芒阿老师,683.7万追番
19,欢迎来到实力至上主义的教室,677万追番
20,JOJO的奇妙冒险 石之海,653.5万追番
21,冰菓,633.9万追番
22,某科学的超电磁炮T,612万追番
23,刀剑神域 爱丽丝篇 异界战争 -终章-,611.7万追番
24,堀与宫村,606.5万追番
25,紫罗兰永恒花园外传：永远与自动手记人偶,587.2万追剧
26,OVERLORD,581万追番
27,因为太怕痛就全点防御力了,578.4万追番
28,转生成蜘蛛又怎样！,577.9万追番
29,夏目友人帐 唤石者与怪异的访客,564.4万追番
30,在下坂本，有何贵干？,554.2万追番
31,我的青春恋爱物语果然有问题。完,534.9万追番
32,徒然喜欢你,533.9万追番
33,OVERLORD Ⅲ,529.9万追番
34,OVERLORD Ⅱ,517.8万追番
35,刀剑神域 爱丽丝篇 异界战争,512.3万追番
36,岸边露伴 一动也不动,509.8万追番
37,某科学的超电磁炮,502.9万追番
38,四月是你的谎言,502.5万追番
39,Angels of Death,496.6万追番
40,这个勇者明明超强却过分慎重,495.4万追番
41,JOJO的奇妙冒险,495万追番
42,Re：从零开始的异世界生活 Memory Snow(雪之回忆),490.5万追番
43,Re：从零开始的异世界生活 冰结之绊,490.4万追番
44,命运-冠位指定 -月光／失落之室-,489.8万追番
45,青春猪头少年不会梦到怀梦美少女,487万追番
46,命运-冠位嘉年华,482.6万追番
47,干物妹！小埋R,474.1万追番
48,命运-冠位指定 绝对魔兽战线 巴比伦尼亚,467.4万追番
49,盾之勇者成名录,466.8万追番
50,总之就是非常可爱,466.2万追番
51,干物妹！小埋,465万追番
52,Charlotte,458.3万追番
53,异度侵入 ID:INVADED,456.9万追番
54,致不灭的你,454.6万追番
55,刀剑神域 Alicization,451.4万追番
56,虚构推理,451.3万追番
57,约战狂三外传,448.7万追番
58,JOJO的奇妙冒险 黄金之风,445.6万追番
59,五等分的新娘?,444.4万追番
60,多罗罗,432.9万追番
61,NO GAME NO LIFE 游戏人生,432.9万追番
62,中二病也要谈恋爱！,425.6万追番
63,Fate/stay night [Unlimited Blade Works] 第一季,425.5万追番
64,我的青春恋爱物语果然有问题。,415.8万追番
65,命运之夜——天之杯II ：迷失之蝶,412.3万追剧
66,JOJO的奇妙冒险 星尘远征军,410万追番
67,Fate/Apocrypha,409万追番
68,路人女主的养成方法 Fine,407.6万追番
69,路人女主的养成方法,405.5万追番
70,我们仍未知道那天所看见的花的名字。,398.6万追番
71,JOJO的奇妙冒险 星尘远征军 埃及篇,394万追番
72,碧蓝之海,390.7万追番
73,五等分的新娘,387万追番
74,Fate/Zero 第一季,384.7万追番
75,龙王的工作！,373.9万追番
